,num_people,generic_name,event_type,event_location,manufacturer
1526,1,"DEFIBRILLATORS, AUTOMATIC, EXTERNAL",Malfunction,OUTPATIENT TREATMENT FACILITY,ROCHE DIAGNOSTICS
1530,1,SODIUM CHLORIDE INHALATION SOLUTION,Malfunction,,BAXTER HEALTHCARE
1531,1,868.6250,No answer provided,,GYRUS ACMI
1532,1,VASCULAR ACCESS GRAFT,Malfunction,,ROCHE DIABETES CARE AG
1534,1,BLOOD GLUCOSE MONITORING TEST STRIPS - LFR,Malfunction,OTHER,BECKMAN COULTER
1535,1,OZO,Malfunction,I,STRYKER
1536,1,AC-POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,ANIMAS CORPORATION
1537,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,STRYKER
1540,1,INSULIN INFUSION PUMP,Malfunction,I,JOHNSON & JOHNSON PRODUCTS
1542,1,FLUOROSCOPIC X-RAY,Malfunction,,MDT PUERTO RICO OPERATIONS CO
1544,1,"SIMILAR DEVICE S7001, PMA # P990071",Malfunction,,MEDTRONIC
1546,1,"ELECTRODE, PACEMAKER, PERMANENT",Malfunction,,HILL-ROM INC
1547,1,"MOTOR, DRILL, PNEUMATIC",Malfunction,,MPRI
1548,1,INSULIN INFUSION PUMP,Malfunction,,TANDEM DIABETES CARE
1549,1,,Malfunction,,BAXTER HEALTHCARE
1551,1,LINEAR CUTTER,Malfunction,OTHER,"PHYSIO-CONTROL, INC"
1552,1,INFUSION PUMP,Malfunction,,PHILIPS MEDICAL SYSTEMS
1553,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,LIFESCAN INC.
1555,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,I,MEDTRONIC
1556,1,"STIMULATOR, SPINAL-CORD, TOTALLY IMPLANTED FOR PAIN RELIEF",Injury,I,MEDCOMP
1557,1,CARDIOVASCULAR PERMANENT PACING ELECTRODE,Malfunction,HOSPITAL,MDT PUERTO RICO OPERATIONS CO
1558,1,INFUSION PUMP,Malfunction,,"INTUITIVE SURGICAL, INC"
1561,1,INFUSION PUMP,Malfunction,,ANGIODYNAMICS
1563,1,LABORATORY AUTOMATION SYSTEM,Malfunction,,SORIN GROUP DEUTSCHLAND
1564,1,GEI,Malfunction,NOT APPLICABLE,ROCHE DIAGNOSTICS
1565,1,MDS,Malfunction,I,OLYMPUS MEDICAL SYSTEM CORP.
1566,1,PICTURE ARCHIVING AND COMMUNICATION,Malfunction,,GIVEN IMAGING LTD.
1567,1,,Malfunction,,ALCON PRECISION DEVICE - SINKING SPRING
1568,1,"PUMP, INFUSION",Malfunction,,HORIZON MEDICAL PRODUCTS
1569,1,PERIPHERAL DILATATION CATHETER,Malfunction,,BAXTER HEALTHCARE
1571,1,ENDOSCOPIC INSTRUMENT,Malfunction,HOSPITAL,BECKMAN COULTER
1573,1,BLOOD GLUCOSE MONITORING KIT/SYSTEM,Malfunction,NOT APPLICABLE,MEDTRONIC
1575,1,GLUCOSE MONITORING SYS/KIT,Injury,,LIFESCAN INC.
1576,1,PHACOFRAGMENTATION SYSTEM,Malfunction,,"CONVATEC DOMINICAN REPUBLIC, INC"
1577,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,ROCHE DIAGNOSTICS
1578,1,NEONATAL/PEDIATRIC VENTILATOR,Malfunction,,BAXTER HEALTHCARE
1580,1,,Malfunction,,"GESELLSCHAFT FUR MEDIZINISCHE SONDENTECHNIK GMS, M"
1581,1,IMPLANTABLE LEAD,Malfunction,HOSPITAL,COVIDIEN
1582,1,IMPAX CV REPORTING,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1583,1,IMPLANTABLE CHF GENERATOR,Malfunction,HOSPITAL,BAXTER HEALTHCARE
1586,1,,Malfunction,,BAXTER HEALTHCARE
1587,1,RESERVOIR,Malfunction,I,ROCHE DIAGNOSTICS
1588,1,,Malfunction,,BAXTER HEALTHCARE
1590,1,HEMODIALYSIS MACHINE,Malfunction,OUTPATIENT TREATMENT FACILITY,LEIBINGER
1591,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Injury,I,BAXTER HEALTHCARE
1592,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,MEDTRONIC
1593,1,890.3860,Malfunction,,COSTA RICA
1595,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1597,1,POWERED TOOTHBRUSH,Malfunction,,MEDTRONIC
1599,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,ROCHE DIAGNOSTICS
1602,1,"APPLIANCE, FIXATION, SPINAL INTERLAMINAL",Injury,,ANIMAS CORPORATION
1603,1,GOLDIE PTCA BALLOON CATHETER,Malfunction,NOT APPLICABLE,GUIDANT
1605,1,LUER LOCK,Malfunction,HOSPITAL,ANIMAS CORPORATION
1606,1,INSULIN PUMP,Malfunction,,ANIMAS CORPORATION
1608,1,"MOTOR, DRILL, ELECTRIC - FOOT CONTROL",Malfunction,,COVIDIEN
1609,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1610,1,ROTAFLOW CONSOLE,Injury,HOSPITAL,ST. JUDE MEDICAL INC. CRMD
1611,1,"CLINICAL CHEMISTRY ANALYZER,",Malfunction,,"INTUITIVE SURGICAL, INC"
1613,1,868.5440,Malfunction,,ANIMAS CORPORATION
1614,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,MEDTRONIC
1615,1,INTRAOCUALR LENS,Malfunction,,BECKMAN COULTER
1616,1,PNEUMATIC SURG DRILL ATTACHMENT LEGEND,Malfunction,HOSPITAL,GUIDANT
1617,1,LANCET DEVICE,Malfunction,HOME,GE OEC MEDICAL SYSTEMS
1619,1,"PUMP, INFUSION, IMPLANTED, PROGRAMMABLE",Malfunction,,MEDTRONIC
1620,1,IMPLANTABLE PULSE GENERATOR,Injury,,IPG MFG SWITZERLAND
1621,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,,MAQUET CARDIOVASCULAR
1622,1,MDS,Malfunction,,ANIMAS CORPORATION
1623,1,"VENTILATOR, CONTINUOUS, FACILITY USE",Malfunction,I,GIVEN IMAGING LTD.
1624,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,PHILIPS MEDICAL SYSTEMS
1626,1,IN-VITRO DIAGNOSTIC,Malfunction,,DEPUY SYNTHES
1627,1,INSULIN INFUSION PUMP,Malfunction,,TANDEM DIABETES CARE
1628,1,A/C HOSPITAL BED,Malfunction,,STRYKER
1630,1,INFUSION PUMP/CONTROLLER,Malfunction,HOSPITAL,"WRIGHT MEDICAL TECHNOLOGY, INC"
1633,1,LASER SURGICAL INSTRUMENT,Malfunction,,BAXTER HEALTHCARE
1634,1,868.5440,Malfunction,,MDT PUERTO RICO OPERATIONS CO
1636,1,INFUSION PUMP,Malfunction,,ETHICON
1638,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE
1640,1,ENDOVASCULAR SUTURING SYSTEM,Malfunction,I,"WRIGHT MEDICAL TECHNOLOGY, INC"
1642,1,BLOOD GLUCOSE TEST STRIP,Malfunction,,IPG MFG SWITZERLAND
1643,1,,Other,HOME,BAXTER HEALTHCARE
1644,1,FLUOROSCOPIC X-RAY,Malfunction,,"CRITIKON, INC."
1646,1,SURGIPRO MESH,Injury,,HILL-ROM RITTER
1647,1,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,Other,,STRYKER
1648,1,BLOOD GLUCOSE MONITORING KIT/SYSTEM,Malfunction,NOT APPLICABLE,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
1649,1,INFUSION PUMP,Malfunction,,ROCHE DIAGNOSTICS
1650,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,PIP AMERICA
1653,1,,Injury,OTHER,CONMED
1656,1,IMPLANT,Malfunction,,"PHYSIO-CONTROL, INC"
1657,1,CENTRIFUGAL DRIVE MOTOR,Malfunction,,GE OEC MEDICAL SYSTEMS
1658,1,"BUR, SURGICAL, GENERAL & PLASTIC SURGERY",Malfunction,,BAXTER HEALTHCARE
1659,1,,Malfunction,,DEXCOM INC
1661,1,,Malfunction,OTHER,BAXTER HEALTHCARE
1662,1,890.5050,No answer provided,,"INTUITIVE SURGICAL, INC"
1665,1,"PUMP, INFUSION",Malfunction,I,MDT PUERTO RICO OPERATIONS CO
1666,1,PTA GUIDE WIRE,Malfunction,,AGFA HEALTHCARE CORP
1667,1,MANDIBLE DISTRACTION DEVICES,Malfunction,,PONCE - USS
1668,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
1670,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,ANIMAS CORPORATION
1671,1,BLOOD GLUCOSE MONITORING DEVICE,Malfunction,HOME,BAXTER HEALTHCARE
1672,1,"INSTRUMENT, STEREOTAXIC",Malfunction,,"AGILENT TECHNOLOGIES, INC"
1673,1,CHEMISTRY ANALYZER,Malfunction,,ST JUDE MEDICAL - NEUROMODULATION
1674,1,INFUSION PUMP,Malfunction,,INVAMEX
1676,1,IMMUNOCHEMISTRY ANALYZER - JJE,Malfunction,OTHER,BAXTER HEALTHCARE
1677,1,LIQUID CHEMICAL STERILANT PROCESSING SYSTEM,No answer provided,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
1678,1,ABSORBABLE SYNTHETIC SUTURE,Injury,,CAMERON HEALTH
1679,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BAXTER HEALTHCARE
1680,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,MEDTRONIC
1681,1,"ELECTROSURGICAL, CUTTING & COAGULATION & ACCESSORIES",Malfunction,I,BAXTER HEALTHCARE
1683,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,MEDTRONIC
1685,1,DISPOSABLE 5MM LAP CLIP APPLIER,Malfunction,HOSPITAL,"RESPIRONICS CALIFORNIA, INC"
1686,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,ETHICON
1688,1,A/C POWERED HOSPITAL BED,Malfunction,,BAXTER/SABRATEK CORP.
1690,1,DEFIBRILLATOR/PACEMAKER,Malfunction,I,BAXTER HEALTHCARE
1691,1,CENTRAL STATION MONITOR,Malfunction,,"RESPIRONICS CALIFORNIA, INC"
1692,1,"LOX CATHETERS, TRANSLUMINAL CORONARY ANGIOPLASTY, PERCUTANEOUS",Malfunction,,BAXTER HEALTHCARE
1696,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,MEDTRONIC
1697,1,"FZP CLIP, IMPLANTABLE",Malfunction,OTHER,ST JUDE MEDICAL - NEUROMODULATION
1699,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,MEDTRONIC
1700,1,INTRAOCULAR LENS FOLDERS AND INJECTORS,Malfunction,,BAXTER HEALTHCARE
1701,1,"CATHETER, ANGIOPLASTY, PERIPHERAL, TRANSLUMINAL",Malfunction,,"INTUITIVE SURGICAL, INC"
1702,1,HOSPITAL WHEELED STRETCHER,Malfunction,,STRYKER
1705,1,DRAINAGE CATHETER,Malfunction,,HILL-ROM INC
1707,1,"PLATE, FIXATION, BONE",Injury,,"ALERE SAN DIEGO, INC"
1708,1,FLUOROSCOPIC X-RAY,Malfunction,,FRESENIUS
1709,1,OZO,Malfunction,,MDT PUERTO RICO OPERATIONS CO
1711,1,"SET, ADMINISTRATION, INTRAVASCULAR",Malfunction,,ABBOTT DIABETES CARE
1713,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE
1714,1,A/C POWERED HOSPITAL BED,Malfunction,,DEPUY SYNTHES
1716,1,ULTRASONIC-SURGERY DEVICES - ENDOSC,Malfunction,NOT APPLICABLE,ETHICON
1717,1,MDS,Malfunction,,ETHICON
1718,1,"DQX WIRE, GUIDE, CATHETER",Injury,,IMPACT PRODUCTS
1719,1,CUTTING FORCEPS,Malfunction,HOSPITAL,BECKMAN COULTER
1721,1,SUTURE MEDIATED CLOSURE,Injury,,"MED-EL ELEKTROMEDIZINISCHE GERAETE, GMBH"
1724,1,DEFIBRILLATION LEAD,Injury,HOSPITAL,BAXTER HEALTHCARE
1725,1,DEFIBRILLATION LEAD,Injury,HOSPITAL,ZOLL
1726,1,INFUS,Malfunction,,ALLEGIANCE HEALTHCARE CORP.
1727,1,MONITOR/DEFIBRILLATOR,Malfunction,,MINIMED INC
1728,1,80FRN,Malfunction,,CONMED
1730,1,KNEE INSTRUMENT,Malfunction,HOSPITAL,BAXTER HEALTHCARE
1731,1,PERMANENT PACEMAKER ELECTRODE,Malfunction,,CARDIOVASCULAR SYSTEMS INCORPORATED
1732,1,"PUMP, INFUSION, IMPLANTED, PROGRAMMABLE",Injury,I,MPRI
1733,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,CPI - DEL CARIBE
1734,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,ABBOTT DIABETES CARE
1735,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,I,MEDTRONIC
1736,1,INSULIN PUMP,Malfunction,I,BARD MEDICAL DEVICE
1737,1,OZO,Malfunction,I,BAXTER HEALTHCARE
1738,1,INFUSION PUMP,Malfunction,,MDT PUERTO RICO OPERATIONS CO
1739,1,BLOOD GLUCOSE,Malfunction,,SIEMENS HEALTHCARE DIAGNOSTICS
1741,1,,Malfunction,,STRYKER
1742,1,ESOPHAGEAL BOUGIE,Malfunction,,BAXTER HEALTHCARE
1743,1,ENDOSSEOUS DENTAL IMPLANT,Malfunction,UNKNOWN,BAXTER HEALTHCARE
1744,1,"ANALYZER, CHEMISTRY (PHOTOMETRIC, DISCRETE), FOR CLINICAL USE",Malfunction,,"BECKMAN COULTER, INC."
1745,1,FLUOROSCOPIC X-RAY,Malfunction,,MEDTRONIC
1746,1,"PUMP, INFUSION, IMPLANTED, PROGRAMMABLE",Malfunction,,BAXTER HEALTHCARE
1747,1,,Malfunction,HOSPITAL,HEARTWARE
1748,1,FOLEY CATHETER,Malfunction,HOSPITAL,ANIMAS CORPORATION
1749,1,"PULSE-GENERATOR, DUAL CHAMBER, IMPLANTABLE",Injury,,BAYER HEALTHCARE LLC
1750,1,INSTRUMENT,Malfunction,,ARROW INTERNATIONAL
1751,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,TYCO
1752,1,,Malfunction,,MEDTRONIC
1754,1,890.3910,No answer provided,,AMERICAN MEDICAL SYSTEMS
1755,1,AC-POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1756,1,"DETECTOR AND ALARM, ARRHYTHMIA",Malfunction,,MEDTRONIC
1757,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,ROCHE DIAGNOSTICS
1758,1,AC-POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,BAXTER HEALTHCARE
1759,1,8FR SINGLE LUMEN GROSHONG CATHETER,Injury,HOSPITAL,MDT PUERTO RICO OPERATIONS CO
1763,1,"DRILL, SURGICAL, ENT (ELECTRIC OR PNEUMATIC) INCLUDING HANDPIECE",Malfunction,,ROCHE DIAGNOSTICS
1764,1,PROGRAMMING SOFTWARE,Malfunction,OTHER,CORDIS DE MEXICO
1765,1,"SET, ADMINISTRATION, FOR PERITONEAL DIALYSIS, DISPOSABLE",Malfunction,,AV-TEMECULA-CT
1766,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,"HOLOGIC, INC."
1769,1,CLINICAL CHEMSTRY ANALYZER,Malfunction,,BAXTER HEALTHCARE
1770,1,,Malfunction,,INSULET CORPORATION
1771,1,,Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1773,1,,Injury,OTHER,MPRI
1775,1,"MOTOR, SURGICAL INSTRUMENT, AC-POWERED",Malfunction,,TERUMO CARDIOVASCULAR SYSTEM CORP.
1778,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BAXTER HEALTHCARE
1781,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Injury,,DEXCOM INC
1782,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,ANIMAS CORP.
1784,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,LIFESCAN INC.
1785,1,"MDS, PRODUCT CODE:MDS",Malfunction,,MAQUET CARDIOVASCULAR
1786,1,PERMANENT PACEMAKER ELECTRODE,Injury,,STAAR SURGICAL
1787,1,"GENERATOR, OXYGEN, PORTABLE",Malfunction,,MPRI
1788,1,"CATHETER, UROLOGICAL",Malfunction,I,ZIMMER ORTHOPAEDIC SURGICAL PRODUCTS
1790,1,INSULIN INFUSION PUMP,Malfunction,,ETHICON
1791,1,IMPLANTABLE TACHY LEAD,Injury,HOSPITAL,ELA MEDICAL
1792,1,,Malfunction,,MEDTRONIC
1793,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,OUTPATIENT TREATMENT FACILITY,BECKMAN COULTER
1794,1,"IMAGE-INTENSIFIED FLUOROSCOPIC X-RAY SYSTEM, MOBILE",Malfunction,I,COCHLEAR LTD
1795,1,ROLLER PUMP,Malfunction,,COVIDIEN
1796,1,AVAULTA POSTERIOR SYSTEM,Injury,HOSPITAL,SYNTHES (USA)
1797,1,INFUSION PUMP,Malfunction,,ABBOTT VASCULAR
1798,1,FINGER PYROLYTIC CARBON PROSTHESIS,Injury,,ST JUDE MEDICAL - NEUROMODULATION
1799,1,"PUMP, INFUSION",Malfunction,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
1801,1,"CATHETER, PICC",Malfunction,HOSPITAL,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
1803,1,80FRN,Malfunction,,COSTA RICA
1804,1,,Malfunction,,ANIMAS CORPORATION
1805,1,INSULIN INFUSION PUMP,Malfunction,,CARDIAC PACEMAKERS
1807,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,I,BAXTER HEALTHCARE
1808,1,PERMANENT PACEMAKER ELECTRODE,Injury,HOSPITAL,MEDTRONIC
1810,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,MPRI
1811,1,500,Malfunction,,MEDTRONIC
1813,1,INSULIN INFUSION PUMP,Malfunction,,LIFESCAN INC.
1815,1,RESERVOIR,Injury,,GLOBAL PHARMACOVIGILANCE AND EPIDEMIOLOGY/SANOFI-AVENTIS
1818,1,INSULIN PUMP,Malfunction,I,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1819,1,INFUSION PUMP,Malfunction,,BOSTON SCIENTIFIC
1822,1,MANUAL OPHTHALMIC SURGICAL INSTRUMENT: LACRYMAL DILATOR,Malfunction,,INVACARE TAYLOR STREET
1823,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,INVACARE TAYLOR STREET
1825,1,MDS,Malfunction,,STRYKER
1830,1,PT LIFT,Malfunction,,MEDTRONIC
1831,1,BLOOD GLUCOSE MONITORING DEVICE -NBW,Malfunction,HOSPITAL,STRYKER
1832,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,I,SOFRADIM PRODUCTION
1833,1,INFUSION PUMP,Malfunction,,FISHER & PAYKEL
1834,1,"ANALYZER, CHEMISTRY (PHOTOMETRIC, DISCRETE), FOR CLINICAL USE",Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1836,1,INSULIN INFUSION PUMP,Malfunction,,MEDTRONIC
1837,1,INFUSION PUMP,Malfunction,,ALLERGAN
1838,1,"STAPLE, IMPLANTABLE",Malfunction,,BOSTON SCIENTIFIC
1839,1,POWERED SURGICAL LASER INSTRUMENT,Malfunction,,AMERICAN MED SYS
1842,1,OZO,Malfunction,I,MDT PUERTO RICO OPERATIONS CO
1843,1,FLUOROSCOPIC X-RAY,Malfunction,,SHERWOOD
1844,1,ENDOSCOPIC ELECTROSURGICAL INSTRUMENT,Malfunction,HOSPITAL,DATASCOPE
1846,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,MINIMED INC
1847,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE CORPORATION
1848,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,STRYKER
1849,1,A/C POWERED ADJUSTABLE HOSP BED,Malfunction,,BAXTER HEALTHCARE
1850,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1854,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
1855,1,INFUSION PUMP,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1858,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,BAXTER HEALTHCARE
1859,1,LANCET DEVICE,Malfunction,OTHER,BECKMAN COULTER
1860,1,"PUMP, INFUSION",Malfunction,,MEDTRONIC
1861,1,PROTHROMBIN TIME TEST STRIPS,Malfunction,,MEDTRONIC
1862,1,ADMINISTRATION SET,Malfunction,,BECTON DICKINSON
1863,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,MPRI
1864,1,A/C POWERED HOSPITAL BED,Malfunction,,ETHICON
1865,1,INSULIN INFUSION PUMP,Malfunction,,DEXCOM INC
1866,1,WEARABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,DEXCOM INC
1867,1,INFUSION PUMP,Malfunction,,COVIDIEN
1868,1,GLUCOSE MONITORING SYS/KIT,Injury,,CODMAN   SHURTLEFF
1871,1,(DQX) NEURO GUIDEWIRE,Malfunction,,GLOBAL PHARMACOVIGILANCE AND EPIDEMIOLOGY/SANOFI-AVENTIS
1874,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,COVIDIEN
1876,1,,Malfunction,HOSPITAL,USSC PUERTO RICO
1877,1,"STIMULATOR, SPINAL-CORD, TOTALLY IMPLANTED FOR PAIN RELIEF",Malfunction,,INAMED CORPORATION (FREMONT)
1878,1,HOSPITAL WHEELED STRETCHER,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1879,1,PERMANENT PACEMAKER ELECTRODE,Malfunction,,DEXCOM INC
1880,1,IMPLANTABLE PACEMAKER PULSE GENERATOR,Malfunction,,STRYKER
1881,1,"NIQ STENT, CORONARY, DRUG-ELUTING",Malfunction,,LIFESCAN INC.
1882,1,FLUOROSCOPIC X-RAY,Malfunction,OUTPATIENT DIAGNOSTIC FACILITY,"PHYSIO-CONTROL, INC"
1884,1,OZO,Injury,,ETHICON
1886,1,AVAULTA ANTERIOR BIOSYNTHETIC SYST.,Injury,I,BOSTON SCIENTIFIC
1888,1,IMPLANTABLE PULSE GENERATOR,Malfunction,,"AMS, INNOVATION CENTER - SILICON VALLEY"
1892,1,"PERMANENT PACEMAKER ELECTRODE, DTB",Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1893,1,INFUSION PUMP,Malfunction,,INVACARE FLORIDA OPERATIONS
1894,1,INTRAOCULAR LENS,Malfunction,,CARDIAC PACEMAKERS
1895,1,VENTRICULAR ASSIST DEVICE,Malfunction,,MEDTRONIC
1896,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,MEDTRONIC
1897,1,IABP,Malfunction,,BAXTER HEALTHCARE
1898,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,ETHICON
1899,1,INFUSION PUMP,Malfunction,,MEDTRONIC
1900,1,VALVE ACCESSORIES,Malfunction,,MPRI
1901,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,AMERICAN MEDICAL SYSTEMS
1902,1,INFUSION PUMP,Malfunction,,ROCHE DIAGNOSTICS
1903,1,"DEFIBRILLATORS, AUTOMATIC, EXTERNAL",Malfunction,OUTPATIENT TREATMENT FACILITY,GE OEC MEDICAL SYSTEMS
1904,1,AC-POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,ABBOTT DIABETES CARE
1905,1,,Malfunction,I,ABBOTT VASCULAR
1907,1,"PUMP, INFUSION",Malfunction,,CPI - DEL CARIBE
1910,1,,Malfunction,OTHER,DOW CORNING CORP
1911,1,TRANSFER SET,Malfunction,,ANIMAS CORPORATION
1913,1,"DISPLAY, CATHODE-RAY TUBE, MEDICAL, HIGH PRESSURE TUBING",Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
1915,1,CES MICROCATHETERS (KRA),Malfunction,,ETHICON
1917,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,ARROW INTERNATIONAL
1918,1,,Malfunction,OTHER,HOSPIRA
1919,1,INSULIN INFUSION PUMP,Malfunction,I,BAXTER HEALTHCARE
1920,1,VENTILATOR,Malfunction,,BAXTER HEALTHCARE
1921,1,INFUSION PUMP,Malfunction,,ST. JUDE MEDICAL INC. CRMD
1923,1,NONE,Injury,,A/O SYNTHES
1924,1,VOLUME VENTILATOR,Malfunction,OTHER,MEDTRONIC
1925,1,FLUOROSCOPIC X-RAY,Malfunction,,COCHLEAR LTD
1927,1,DEFIBRILLATION LEAD,Injury,HOSPITAL,INVACARE FLORIDA OPERATIONS
1929,1,GENERAL SURGERY TRAY (KIT),Malfunction,I,LIFESCAN INC.
1932,1,BLOOD GLUCOSE METER,Malfunction,,DATASCOPE
1934,1,"CATHETER, CORONARY, ATHERECTOMY",Malfunction,,GUIDANT
1936,1,GRIESHABER,Malfunction,,BECKMAN COULTER
1937,1,FLUOROSCOPIC X-RAY,Malfunction,,SYNTHES GMBH
1938,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
1940,1,ELECTROSURGICAL PROBE,Malfunction,,LIFESCAN INC.
1941,1,"STIMULATOR, ELECTRICAL, IMPLANTED, FOR PARKINSONIAN TREMOR",Malfunction,,BAXTER HEALTHCARE
1944,1,ENDOSCOPE AND/OR ACCESSORIES,Malfunction,,AV-TEMECULA-CT
1946,1,INSULIN INFUSION SET,Malfunction,OTHER,CPI - DEL CARIBE
1947,1,"PUMP, INFUSION, IMPLANTED, PROGRAMMABLE",Injury,I,FLEXTRONICS EMS CANADA
1948,1,"STIMULATOR, ELECTRICAL, IMPLANTABLE, FOR INCONTINENCE",Malfunction,,ST. JUDE MEDICAL INC. CRMD
1949,1,INFUSION PUMP,Malfunction,,MDT PUERTO RICO OPERATIONS CO
1950,1,"PUMP, INFUSION, IMPLANTED, PROGRAMMABLE",Malfunction,,MEDTRONIC
1951,1,BLOOD GLUCOSE SYSTEM,Malfunction,HOSPITAL,MPRI
1953,1,PICTURE ARCHIVING AND COMMUNICATION,Malfunction,,"MEDICAL COMPONENTS, INC."
1954,1,INTESTINAL STIMULATOR,Injury,,ANIMAS CORPORATION
1958,1,"MESH, SURGICAL, POLYMERIC",Death,,MEDTRONIC
1960,1,SUTURE MEDIATED CLOSURE,Injury,,ETHICON
1963,1,INFUSION PUMP,Malfunction,,BIOTRONIK SE & CO KG
1965,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,AGFA HEALTHCARE CORP
